Job_ID,Company,Job_title,Job_simple,Max_Salary,Pay_Period,Location,Company_ID,Min_Salary,Work_Type,Remote_Allowed,Experience_Level,Compensation_Type,Normalized_Salary,skill,industry_name
3901937686,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Raleigh-Durham-Chapel Hill Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901937718,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"San Antonio, Texas Metropolitan Area",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901937792,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Huntsville-Decatur-Albertville Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901938642,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"Richmond, VA",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901939552,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,San Diego Metropolitan Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901940674,LTIMindtree,Data Architect,Data Architect,75000,YEARLY,"Burbank, CA",86813252,65000,Contract,0,null,BASE_SALARY,null,Engineering,IT Services and IT Consulting
3901941046,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"Arlington, TX",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901941571,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"Sunnyvale, CA",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901942334,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,"Austin, Texas Metropolitan Area",96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901942346,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Greensboro--Winston-Salem--High Point Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
3901942350,DataAnnotation,Data Analyst,Data Analyst,75000,YEARLY,Greater Tampa Bay Area,96139831,65000,Contract,1,null,BASE_SALARY,null,Engineering,Software Development
